scaf_name,chr_type,MF,MF_adj
1_Tdi_b3v08_scaf000284,A,0.00110622971699397,-0.08889377
1_Tdi_b3v08_scaf000285,A,0.0324123734646126,-0.05758763
1_Tdi_b3v08_scaf000286,A,-0.0463574861453287,-0.1363575
1_Tdi_b3v08_scaf000287,A,-0.00430044493299553,-0.09430044
1_Tdi_b3v08_scaf000288,A,-0.00246724883028169,-0.09246725
1_Tdi_b3v08_scaf000289,A,-0.0710241930596859,-0.1610242
1_Tdi_b3v08_scaf000290,A,0.0293251832959264,-0.06067482
1_Tdi_b3v08_scaf000291,A,0.0144689183152805,-0.07553108
1_Tdi_b3v08_scaf000292,A,0.158681015340303,0.06868102
1_Tdi_b3v08_scaf000293,A,-0.0221367682197593,-0.1121368
1_Tdi_b3v08_scaf000294,A,0.0794760074128666,-0.01052399
1_Tdi_b3v08_scaf000295,X,-0.98439532227041,-1.074395
1_Tdi_b3v08_scaf000296,A,-0.00131394292340707,-0.09131394
1_Tdi_b3v08_scaf000297,A,-0.0559892639896743,-0.1459893
1_Tdi_b3v08_scaf000298,A,0.0165670725314163,-0.07343293
1_Tdi_b3v08_scaf000299,A,-0.0409313002005609,-0.1309313
1_Tdi_b3v08_scaf000300,A,-0.0740019002578015,-0.1640019
1_Tdi_b3v08_scaf000301,A,-0.068672674927622,-0.1586727
1_Tdi_b3v08_scaf000302,A,-0.00353484019933728,-0.09353484
1_Tdi_b3v08_scaf000303,A,-0.101631997593393,-0.1916320
1_Tdi_b3v08_scaf000304,A,0.00428262000198577,-0.08571738
1_Tdi_b3v08_scaf000305,A,-0.0144277785057135,-0.1044278
1_Tdi_b3v08_scaf000306,A,0.0106359826578273,-0.07936402
1_Tdi_b3v08_scaf000307,A,0.0183058314737225,-0.07169417
1_Tdi_b3v08_scaf000308,A,0.0691469446180552,-0.02085306
1_Tdi_b3v08_scaf000309,A,0.0506800172216812,-0.03931998
1_Tdi_b3v08_scaf000310,A,0.0460021498820071,-0.04399785
1_Tdi_b3v08_scaf000311,X,-0.953573951100715,-1.043574
1_Tdi_b3v08_scaf000312,A,-0.0833647693966873,-0.1733648
1_Tdi_b3v08_scaf000313,A,-0.0132024026263097,-0.1032024
1_Tdi_b3v08_scaf000314,A,0.0788742297161088,-0.01112577
1_Tdi_b3v08_scaf000315,A,-0.0239155724243692,-0.1139156
1_Tdi_b3v08_scaf000316,A,-0.00989343406008862,-0.09989343
1_Tdi_b3v08_scaf000317,A,0.0333161559439084,-0.05668384
1_Tdi_b3v08_scaf000318,A,-0.0290041424385219,-0.1190041
1_Tdi_b3v08_scaf000319,A,0.0159844189376517,-0.07401558
1_Tdi_b3v08_scaf000320,A,0.0512187083303876,-0.03878129
1_Tdi_b3v08_scaf000321,A,-0.0440142545305164,-0.1340143
1_Tdi_b3v08_scaf000322,A,0.0779361595095984,-0.01206384
1_Tdi_b3v08_scaf000323,X,-0.914667952454347,-1.004668
1_Tdi_b3v08_scaf000324,A,-0.0495466615023839,-0.1395467
1_Tdi_b3v08_scaf000325,A,-0.118393294329911,-0.2083933
1_Tdi_b3v08_scaf000326,A,-0.0276014024947358,-0.1176014
1_Tdi_b3v08_scaf000327,A,0.0372390338236547,-0.05276097
1_Tdi_b3v08_scaf000328,A,0.0303720765055174,-0.05962792
1_Tdi_b3v08_scaf000329,A,0.0567717951423248,-0.03322820
1_Tdi_b3v08_scaf000330,A,0.0614611345001041,-0.02853887
1_Tdi_b3v08_scaf000331,A,-0.11090068157001,-0.2009007
1_Tdi_b3v08_scaf000332,A,-0.0238980814574865,-0.1138981
1_Tdi_b3v08_scaf000333,A,0.0788429612506238,-0.01115704
1_Tdi_b3v08_scaf000334,A,-0.0408573530091762,-0.1308574
1_Tdi_b3v08_scaf000335,A,-0.0123250851091864,-0.1023251
1_Tdi_b3v08_scaf000336,A,-0.0161290308453192,-0.1061290
1_Tdi_b3v08_scaf000337,A,0.0306013517570055,-0.05939865
1_Tdi_b3v08_scaf000338,X,-0.977433900896197,-1.067434
1_Tdi_b3v08_scaf000339,A,0.0121006991494142,-0.07789930
1_Tdi_b3v08_scaf000340,A,-0.030068061045782,-0.1200681
1_Tdi_b3v08_scaf000341,X,-0.980408398153437,-1.070408
1_Tdi_b3v08_scaf000342,A,-0.0489016901886387,-0.1389017
1_Tdi_b3v08_scaf000343,A,-0.0705627520911626,-0.1605628
1_Tdi_b3v08_scaf000344,A,-0.0679521506931567,-0.1579522
1_Tdi_b3v08_scaf000345,A,0.0280478050298254,-0.06195219
1_Tdi_b3v08_scaf000346,A,0.0738393291233852,-0.01616067
1_Tdi_b3v08_scaf000347,A,-0.0849742475844349,-0.1749742
1_Tdi_b3v08_scaf000348,A,-0.0456712820471872,-0.1356713
1_Tdi_b3v08_scaf000349,X,-1.00076056329892,-1.090761
1_Tdi_b3v08_scaf000350,A,-0.0421455587400245,-0.1321456
1_Tdi_b3v08_scaf000351,A,0.0431360707484807,-0.04686393
1_Tdi_b3v08_scaf000352,A,-0.109484071479764,-0.1994841
1_Tdi_b3v08_scaf000353,X,-0.992020394001811,-1.082020
1_Tdi_b3v08_scaf000354,A,-0.0271347358086582,-0.1171347
1_Tdi_b3v08_scaf000355,A,0.0750586523143695,-0.01494135
1_Tdi_b3v08_scaf000356,A,-0.0550352104912264,-0.1450352
1_Tdi_b3v08_scaf000357,A,-0.062605638034951,-0.1526056
1_Tdi_b3v08_scaf000358,A,-0.0196682267300238,-0.1096682
1_Tdi_b3v08_scaf000359,A,0.0355703911407824,-0.05442961
1_Tdi_b3v08_scaf000360,X,-0.928959568025587,-1.018960
1_Tdi_b3v08_scaf000361,A,-0.0359991186679951,-0.1259991
1_Tdi_b3v08_scaf000362,A,0.0499858924670289,-0.04001411
1_Tdi_b3v08_scaf000363,A,-0.0168369330150619,-0.1068369
1_Tdi_b3v08_scaf000364,A,-0.0651141823963496,-0.1551142
1_Tdi_b3v08_scaf000365,X,-0.979940786578263,-1.069941
1_Tdi_b3v08_scaf000366,A,0.00116544944183466,-0.08883455
1_Tdi_b3v08_scaf000367,A,-0.0538857805052784,-0.1438858
1_Tdi_b3v08_scaf000368,A,-0.0661582467407639,-0.1561582
1_Tdi_b3v08_scaf000369,A,-0.00180876311680894,-0.09180876
1_Tdi_b3v08_scaf000370,X,-0.954759107946705,-1.044759
1_Tdi_b3v08_scaf000371,A,0.060692269481972,-0.02930773
1_Tdi_b3v08_scaf000372,A,-0.0429509331120491,-0.1329509
1_Tdi_b3v08_scaf000373,A,0.0584835462147722,-0.03151645
1_Tdi_b3v08_scaf000374,A,-0.0455278037881485,-0.1355278
1_Tdi_b3v08_scaf000375,A,-0.0389116517833869,-0.1289117
1_Tdi_b3v08_scaf000376,A,0.0219871941473395,-0.06801281
1_Tdi_b3v08_scaf000377,A,0.0487651232710836,-0.04123488
1_Tdi_b3v08_scaf000378,A,-0.00822153320531601,-0.09822153
1_Tdi_b3v08_scaf000379,A,0.0779200661570945,-0.01207993
1_Tdi_b3v08_scaf000380,A,-0.0316311068117724,-0.1216311
1_Tdi_b3v08_scaf000381,A,0.0479635991404791,-0.04203640
1_Tdi_b3v08_scaf000382,A,-0.0215430301511759,-0.1115430
1_Tdi_b3v08_scaf000383,X,-0.937215635924143,-1.027216
1_Tdi_b3v08_scaf000384,X,-0.947488504617851,-1.037489
